No.,Tanggal,Nomor,ATM ID,Lokasi,Jenis Layanan,Laporan Kerusakan,Pekerjaan Dilakukan,Nomor Tiket,Penggantian Sparepart,Jumlah Part,Status,CSE,Pilihan
55,09 Juli 2020,87419,ATM20002005,KCP GOLDEN,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
56,14 Mei 2020,87435,ATM20002005,KCP GOLDEN,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
57,27 Oktober 2020,89393,ATM20002005,KCP GOLDEN,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
58,30 Januari 2020,87626,ATM20002005,KCP GOLDEN,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
59,29 Maret 2020,83002,ATM20002008,CAB. MEDAN II,Error & PM ,Hardware ,"Check & Clean all devices, replace Feed shat, sw, taw, test OK. ", ,Feed Shaft ,1 , ,Rajamin Nasution ,
,,,,,,,,,Stripper Wheel ,1 , ,Rajamin Nasution ,
,,,,,,,,,Take Away wheel ,1 , ,Rajamin Nasution ,
60,24 November 2020,89381,ATM20002008,CAB. MEDAN II,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
61,01 April 2020,87446,ATM20002008,CAB. MEDAN II,PM 2 ,Hardware ,"General Maintenance, Check & Clean all device, replace F/s, S/W., test OK. ", ,Feed Shaft ,2 , ,Rajamin Nasution ,
,,,,,,,,,Stripper Wheel ,2 , ,Rajamin Nasution ,
62,24 Agustus 2020,87410,ATM20002008,CAB. MEDAN II,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
63,25 Agustus 2020,87412,ATM20002008,CAB. MEDAN II,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
64,30 Juni 2020,87420,ATM20002008,CAB. MEDAN II,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
65,21 September 2020,89399,ATM20002008,CAB. MEDAN II,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
66,24 Juli 2020,87414,ATM20002008,CAB. MEDAN II,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
67,26 Mei 2020,87607,ATM20002008,CAB. MEDAN II,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
68,22 Oktober 2020,89389,ATM20002008,CAB. MEDAN II,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
69,27 Januari 2020,87622,ATM20002008,CAB. MEDAN II,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
70,08 September 2020,89400,ATM20002008,CAB. MEDAN II,Error ,Hardware ,"Check & Clean all devices, replace PSU PC, test OK. ",2009134 ,"pwr sply,swtcr,muttv ",1 , ,Rajamin Nasution ,
71,20 Januari 2020,87619,ATM20002011,KK MEDAN FAIR,Error & PM ,Preventive Maintenance ,"Check & Clean all devices, replace ............... / no replace, test OK. ", , , , ,Rajamin Nasution ,
72,31 Maret 2020,83001,ATM20002013,KK PEMATANG SIANTAR,Other ,Hardware ,"Check all devices, upgrade os win xp ke win 7, test OK. ", , , , ,Rajamin Nasution ,
73,18 Mei 2020,87432,ATM20002013,KK PEMATANG SIANTAR,PM 3 ,Hardware ,"General Maintenance, Check & Clean all device, replace  prasenter, test OK. ",2005-060 ,"TRANSPORT,625MM LENGTH,SFL ",1 , ,Rajamin Nasution ,
74,17 Maret 2020,83007,ATM20002014,RS. DELIA,Installation ,Installation ,"Instalasi ATM, Check all devices, test OK. ", , , , ,Rajamin Nasution ,
75,11 Mei 2020,87430,ATM20002014,RS. DELIA,Error ,Hardware ,"Check & Clean all devices, replace idle roller, test OK. ", , , , ,Rajamin Nasution ,
76,21 April 2020,87443,ATM20002015,BANDARA KUALANAMU,PM 2 ,Hardware ,"General Maintenance, Check & Clean all device, replace Harddisk test OK. ", ,HARDDISK UP TO 250GB ,1 , ,Rajamin Nasution ,
77,20 April 2020,87450,ATM20002015,BANDARA KUALANAMU,PM 2 ,Hardware ,"General Maintenance, Check & Clean all device, replace HArd Disk ",2004-045 ,HARDDISK UP TO 250GB ,1 , ,Rajamin Nasution ,
78,06 April 2020,87449,ATM20002020,,Support ,Non Hardware ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
79,24 April 2020,87444,ATM20002020,,PM 3 ,Hardware ,"General Maintenance, Check & Clean all device, replace CCA DSp, Install Ulang OS atm, test OK. ",2004-048 ,CCA AFD (CCA DISP OPTEVA) ,1 , ,Rajamin Nasution ,
80,17 Januari 2020,87620,ATM20002021,ALFAMART RS. HAJI,Error & PM ,Installation ,"Check & Clean all devices, no replace, install os, test OK. ", , , , ,Rajamin Nasution ,
81,15 Juni 2020,87426,ATM20002025,ALFAMART KEBUN LADA MEDAN BINJAI,Error & PM ,Hardware ,"Check & Clean all devices, replace HDD 500GB, install softwere atm, setting master key+ IP atm test OK. ",2006-083 ,HARDDISK UP TO 250GB ,1 , ,Rajamin Nasution ,
82,20 Oktober 2020,89395,ATM20002025,ALFAMART KEBUN LADA MEDAN BINJAI,PM 2 ,Non Hardware ,"General Maintenance, Check & Clean all device, replace feed shaft, SW, TAW, test OK. ", ,Stripper SnapOnWheel Wide Standard  *** NEW *** ,2 , ,Rajamin Nasution ,
,,,,,,,,,WHL T/A OVRMLD ( TAKE AWAY SNAP ON WHEEL ** NEW ** ,2 , ,Rajamin Nasution ,
,,,,,,,,,Feedshaft *OPTEVA* ,2 , ,Rajamin Nasution ,
83,07 Mei 2020,87433,ATM20002026,RSUP H. ADAM MALIK,Error & PM ,Preventive Maintenance ,"Check & Clean all devices, replace feed shaft, taw, sw, test OK. ", ,Feed Shaft ,2 , ,Rajamin Nasution ,
,,,,,,,,,Stripper Wheel ,2 , ,Rajamin Nasution ,
,,,,,,,,,Take Away wheel ,2 , ,Rajamin Nasution ,
84,20 Mei 2020,87428,ATM20002026,RSUP H. ADAM MALIK,Error , ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
85,20 Oktober 2020,89394,ATM20002029,ATM INDOMARET KAPTEN MUSLIM 2 (TO35),Error & PM ,Hardware ,"Check & Clean all devices, replace consumer printer opteva, test OK. ", ,Consumer Receipt Printer ,1 , ,Rajamin Nasution ,
86,06 November 2020,89380,ATM20002029,ATM INDOMARET KAPTEN MUSLIM 2 (TO35),Other ,Non Hardware ,"Check all devices, install ulang OS ATMtest OK. ", , , , ,Rajamin Nasution ,
87,26 November 2020,89387,ATM20002030,ATM INDOMARET MANDALA BY PASS 2 (T7ZY),Support ,Non Hardware ,"Check & Clean all devices, replace no replace, test OK. ", , , , ,Rajamin Nasution ,
88,08 Agustus 2020,87406,ATM20002031,INDOMARET HARJO SARI,Support ,Hardware ,"Check & Clean all devices, replace kunci fascia atas, test OK. ", , , , ,Rajamin Nasution ,
89,06 November 2020,89379,ATM20002032,ATM INDOMARET A.H NASUTION,Other ,Non Hardware ,"Check all devices, test OK. ", , , , ,Rajamin Nasution ,
90,08 April 2020,87447,ATM20002032,ATM INDOMARET A.H NASUTION,3rd PM,Hardware ,"General Maintenance, Check & Clean all device, replace EPP 5, CCA DSP, test OK. ",2004-042 ,"EPP5(BSC),LGE,STTL,ENG(AU),QZ1,BLANK,X,I,O ",1 , ,Rajamin Nasution ,
,,,,,,,,,CCA AFD (CCA DISP OPTEVA) ,1 , ,Rajamin Nasution ,
91,06 April 2020,87448,ATM20002032,ATM INDOMARET A.H NASUTION,PM 2 ,Hardware ,"General Maintenance, Check & Clean all device, replace HDD test OK. ",2004-042 ,HARDDISK UP TO 250GB ,1 , ,Rajamin Nasution ,
92,19 Oktober 2020,89396,ATM20002032,ATM INDOMARET A.H NASUTION,Support ,Hardware ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
93,17 Mei 2020,87431,ATM20002033,ATM INDOMARET DARUSSALAM,Error & PM ,Hardware ,"Check & Clean all devices, replace feed shaft, S/W, TAW, test OK. ", ,Feed Shaft ,2 , ,Rajamin Nasution ,
